City,Airport Code,Latitude,Longitude,X Coordinate,Y Coordinate
Dallas,ADS,32.96856,-96.83644,3131643.513609076,1136449.8394827107
Washington,WSG,40.13647,-80.29019,4971501.702241982,2129998.384430076
Denver,APA,39.57012,-104.84929,2240655.6651970684,2047965.2552030468
Austin,AUM,43.66264,-92.93292,3565694.9292768147,2656996.696760908
Nashville,BNA,36.12447,-86.67818,4261189.957260181,1562602.4721684093
Boston,BOS,42.36294,-71.00639,6003812.676126105,2459337.798804625
Charlotte,CLT,35.21375,-80.94906,4898238.735422033,1437947.366372528
Houston,CXO,30.3534,-95.41508,3289691.4601223497,794758.6854600338
Detroit,DET,42.40933,-83.01017,4669053.868085134,2466321.553801274
Phoenix,DVT,33.68831,-112.08256,1436353.1168799119,1232236.9848714261
El Paso,ELP,31.80733,-106.37636,2070853.3085231592,983535.8208153658
Las Vegas,HSH,36.0,-115.1,1100829.2554183444,1545481.2361180056
Indianapolis,IND,39.71731,-86.29464,4303837.639343328,2069220.0825910699
Memphis,MEM,35.04241,-89.97668,3894413.66443216,1414652.4726011637
San Diego,MYF,32.8,-117.1,878439.506848982,1114130.5784563376
Oklahoma City,OKC,35.39307,-97.60076,3046655.047295809,1462379.9151347894
San Antonio,SAT,29.53396,-98.46906,2950104.5379544194,689603.3619285417
San Francisco,SFO,37.61881,-122.37542,291839.8431500879,1770323.4072967712
